G23    5.451    0.578
G24    2.832    0.925
G29    3.765    0.329
R03    0.735    0.466
R04    5.930    0.833
R05    4.908    0.404
R13    1.068    0.383
R14    2.117    0.413
R18    3.336    0.590
R19    4.455    1.064
R20    5.724    0.375
E04    4.823    0.965
E09    4.326    0.147
E11    5.489    0.663
E12    3.728    1.256
E19    0.554    0.870
E21    1.701    0.161
E33    2.782    0.459
C01    2.283    0.735
C02    4.034    0.755
C03    3.279    0.980
C04    2.035    0.513
C05    4.404    0.382
C06    3.756    1.046
C08    0.778    1.333
C09    3.724    0.862
C13    6.215    1.291
C16    3.754    1.181
C20    0.756    0.809
C22    4.845    0.188
C29    3.754    0.653
C35    4.921    0.640
C36    3.152    0.129
C37    1.250    0.462
C38    1.741    1.270
C39    3.951    1.343
C46    2.380    0.556
C59    2.371    0.794
C60    4.080    0.678
> 2022/06/14 12:00:17.000   45
G05    1.502    0.573
G10    5.177    0.127
G13    0.712    0.556
G15    0.201    1.111
G18    5.211    1.171
G20    1.850    0.143
G23    5.451    0.578
G24    2.831    0.925
G29    3.765    0.329
R03    0.735    0.466
R04    5.930    0.833
R05    4.908    0.404
R13    1.068    0.383
R14    2.117    0.413
R18    3.336    0.590
R19    4.454    1.064
R20    5.724    0.375
E04    4.823    0.965
E09    4.326    0.147
E11    5.489    0.663
E12    3.728    1.256
E19    0.554    0.870
E21    1.701    0.161
E33    2.782    0.459
C01    2.283    0.735
C02    4.034    0.755
C03    3.279    0.980
C04    2.035    0.513
C05    4.404    0.382
C06    3.756    1.046
C08    0.778    1.333
C09    3.724    0.862
C13    6.215    1.291
C16    3.754    1.181
C20    0.756    0.809
C22    4.845    0.188
C29    3.754    0.653
C35    4.921    0.640
C36    3.151    0.130
C37    1.249    0.462
C38    1.742    1.270
C39    3.951    1.343
C46    2.380    0.556
C59    2.371    0.794
C60    4.080    0.678
> 2022/06/14 12:00:18.000   45
G05    1.502    0.573
G10    5.177    0.128
G13    0.712    0.556
G15    0.201    1.111
G18    5.211    1.171
G20    1.850    0.143
G23    5.451    0.578
G24    2.831    0.925
G29    3.765    0.329
R03    0.735    0.466
R04    5.930    0.833
R05    4.909    0.405
R13    1.068    0.383
R14    2.116    0.413
R18    3.336    0.589
R19    4.454    1.064
R20    5.724    0.376
E04    4.823    0.965
E09    4.326    0.147
E11    5.489    0.663
E12    3.728    1.256
E19    0.554    0.870
E21    1.701    0.161
E33    2.782    0.459
C01    2.283    0.735
C02    4.034    0.755
C03    3.279    0.980
C04    2.035    0.513
C05    4.404    0.382
C06    3.756    1.046
C08    0.779    1.333
C09    3.725    0.863
C13    6.215    1.291
C16    3.754    1.181
C20    0.756    0.809
C22    4.845    0.188
C29    3.753    0.653
C35    4.921    0.640
C36    3.151    0.130
C37    1.249    0.462
C38    1.742    1.270
C39    3.951    1.343
C46    2.380    0.556
C59    2.371    0.794
C60    4.080    0.678
> 2022/06/14 12:00:19.000   45
G05    1.502    0.573
G10    5.177    0.128
G13    0.712    0.556
G15    0.201    1.111
G18    5.210    1.171
G20    1.850    0.143
G23    5.451    0.579
G24    2.831    0.925
G29    3.765    0.329
R03    0.735    0.465
R04    5.930    0.833
R05    4.909    0.405
R13    1.068    0.383
R14    2.116    0.413
R18    3.336    0.589
R19    4.454    1.064
R20    5.724    0.376
E04    4.823    0.965
E09    4.326    0.147
E11    5.489    0.663
E12    3.728    1.256
E19    0.554    0.870
E21    1.701    0.161
E33    2.782    0.459
C01    2.283    0.735
C02    4.034    0.755
C03    3.279    0.980
C04    2.035    0.513
C05    4.404    0.382
C06    3.756    1.046
C08    0.779    1.333
C09    3.725    0.863
C13    6.215    1.291
C16    3.754    1.181
C20    0.756    0.809
C22    4.845    0.188
C29    3.753    0.653
C35    4.921    0.640
C36    3.151    0.130
C37    1.249    0.462
C38    1.742    1.270
C39    3.952    1.343
C46    2.380    0.557
C59    2.371    0.794
C60    4.080    0.678
> 2022/06/14 12:00:20.000   45
G05    1.503    0.573
G10    5.177    0.128
G13    0.712    0.555
G15    0.201    1.111
G18    5.210    1.171
G20    1.851    0.143
G23    5.451    0.579
G24    2.831    0.925
G29    3.765    0.329
R03    0.735    0.465
R04    5.931    0.833
R05    4.909    0.405
R13    1.068    0.383
R14    2.116    0.413
R18    3.336    0.589
R19    4.453    1.064
R20    5.724    0.376
E04    4.824    0.965
E09    4.326    0.147
E11    5.489    0.663
E12    3.727    1.256
E19    0.554    0.870
E21    1.701    0.161
E33    2.782    0.459
C01    2.283    0.735
C02    4.034    0.755
C03    3.279    0.980
C04    2.035    0.513
C05    4.404    0.382
C06    3.756    1.046
C08    0.779    1.333
C09    3.725    0.863
C13    6.215    1.291
C16    3.754    1.181
C20    0.756    0.809
C22    4.845    0.188
C29    3.753    0.653
C35    4.921    0.640
C36    3.151    0.130
C37    1.249    0.462
C38    1.742    1.270
C39    3.952    1.343
C46    2.380    0.557
C59    2.371    0.794
C60    4.080    0.678
> 2022/06/14 12:00:21.000   45
G05    1.503    0.573
G10    5.177    0.128
G13    0.712    0.555
G15    0.202    1.111
G18    5.210    1.171
G20    1.851    0.143
G23    5.451    0.579
G24    2.831    0.925
G29    3.765    0.329
R03    0.735    0.465
R04    5.931    0.833
R05    4.909    0.405
R13    1.067    0.383
R14    2.116    0.413
R18    3.336    0.589
R19    4.453    1.064
R20    5.724    0.376
E04    4.824    0.965
E09    4.326    0.147
E11    5.489    0.664
E12    3.727    1.256
E19    0.554    0.870
E21    1.701    0.161
E33    2.782    0.458
C01    2.283    0.735
C02    4.034    0.755
C03    3.279    0.980
C04    2.035    0.513
C05    4.404    0.382
C06    3.757    1.046
C08    0.779    1.333
C09    3.725    0.863
C13    6.215    1.291
C16    3.755    1.181
C20    0.756    0.809
C22    4.845    0.188
C29    3.753    0.653
C35    4.921    0.640
C36    3.151    0.130
C37    1.249    0.462
C38    1.742    1.270
C39    3.952    1.343
C46    2.380    0.557
C59    2.371    0.794
C60    4.080    0.678
> 2022/06/14 12:00:22.000   45
G05    1.503    0.573
G10    5.177    0.128
G13    0.713    0.555
G15    0.202    1.111
G18    5.209    1.171
G20    1.851    0.143
