9.050,15:2:56.00
11.441,15:2:58.40
12.066,15:2:59.00
12.691,15:2:59.60
13.275,15:3:0.20
13.849,15:3:0.80
14.482,15:3:1.40
15.067,15:3:2.00
15.651,15:3:2.60
16.277,15:3:3.20
17.643,15:3:3.80
18.272,15:3:5.20
18.848,15:3:5.80
19.477,15:3:6.40
20.641,15:3:7.60
21.278,15:3:8.20
21.865,15:3:8.80
22.444,15:3:9.40
23.081,15:3:10.00
25.880,15:3:12.80
26.473,15:3:13.40
27.052,15:3:14.00
27.692,15:3:14.60
28.268,15:3:15.20
28.889,15:3:15.80
30.267,15:3:16.40
30.910,15:3:17.80
31.350,15:3:19, 0.0046969, -0.0082842, 0.9994448, 0.0089471, -0.0198511, 0.9996873,-0.092667, 0.635201, -0.174990, -0.088277, 0.395270, -0.153523, 20.12939, 25.43945, 58.68530, 476,374, 42.7, 34.3, 27.9, 43.92, 0.00, 1000
31.361,15:3:19, -0.0007549, -0.0140242, 0.9980873, 0.0099507, -0.0131472, 0.9977092,-0.166148, 0.460783, -0.122268, 0.063253, 0.170787, -0.102106, 20.25146, 25.57983, 58.58765, 472,363, 42.7, 34.6, 27.8, 43.92, 0.00, 1000
31.370,15:3:19, 0.0064091, -0.0086222, 1.0054524, 0.0100512, -0.0162416, 0.9990100,-0.094422, 0.660793, -0.251813, -0.135458, 0.217122, 0.102126, 20.33081, 25.48828, 58.56323, 477,374, 42.7, 34.2, 27.6, 43.92, 0.00, 1000
31.380,15:3:19, 0.0054725, -0.0087964, 0.9990256, 0.0075178, -0.0196493, 0.9937622,-0.144745, 0.583565, -0.252097, -0.036214, 0.333651, -0.051571, 20.19043, 25.34180, 58.56323, 472,365, 42.7, 33.9, 27.6, 43.92, 0.00, 1000
31.389,15:3:19, 0.0014953, -0.0127966, 0.9988048, 0.0073812, -0.0240102, 0.9987780,-0.216671, 0.534024, 0.034842, -0.087520, 0.323143, -0.076396, 20.30640, 25.54932, 58.47168, 478,377, 42.7, 34.2, 28.2, 43.92, 0.00, 1000
31.398,15:3:19, -0.0001036, -0.0079400, 1.0014437, 0.0133155, -0.0175748, 0.9995407,-0.119669, 0.559469, -0.330618, -0.037374, 0.298804, -0.074888, 20.10498, 25.21362, 58.69141, 484,383, 42.7, 34.0, 28.2, 43.92, 0.00, 1000
31.409,15:3:19, 0.0018904, -0.0069031, 0.9998203, 0.0143651, -0.0242300, 1.0008038,-0.092858, 0.485901, -0.252190, -0.210479, 0.370872, 0.204958, 20.19043, 25.59204, 58.63037, 478,371, 42.7, 34.3, 27.9, 43.92, 0.00, 1000
31.417,15:3:19, 0.0022667, -0.0064282, 1.0046815, 0.0113529, -0.0134354, 1.0001739,-0.145034, 0.636318, -0.147862, 0.011441, 0.191328, -0.205014, 20.23315, 25.49438, 58.78296, 480,378, 42.7, 34.3, 27.8, 43.92, 0.00, 1000
31.428,15:3:19, 0.0022667, -0.0064282, 1.0046815, 0.0095874, -0.0204126, 1.0017115,-0.145034, 0.636318, -0.147862, -0.038939, 0.319778, -0.281819, 20.26367, 25.48218, 58.56934, 479,379, 42.7, 34.3, 27.9, 44.55, 0.00, 1000
31.436,15:3:19, 0.0017332, -0.0092410, 1.0013415, 0.0046816, -0.0128734, 0.9961142,-0.144879, 0.659760, -0.252242, -0.011156, 0.290947, -0.128090, 20.17822, 25.42114, 58.75244, 484,382, 42.7, 34.2, 27.7, 43.92, 0.00, 1000
